Name,Amount,Category,Date,Notes,Payment Method,Tags
Sample Expense 0,442.99,Misc,2018-01-01,generated,cash,
Sample Expense 1,408.15,Utilities,2018-01-02,generated,bank,
Sample Expense 2,328.79,Groceries,2018-01-03,generated,cash,
Sample Expense 3,452.87,Transport,2018-01-04,generated,card,
Sample Expense 4,123.06,Misc,2018-01-05,generated,card,
Sample Expense 5,388.64,Misc,2018-01-06,generated,card,
Sample Expense 6,129.33,Utilities,2018-01-07,generated,cash,
Sample Expense 7,309.10,Misc,2018-01-08,generated,bank,
Sample Expense 8,239.73,Misc,2018-01-09,generated,card,
Sample Expense 9,209.40,Utilities,2018-01-10,generated,cash,
Sample Expense 10,269.52,Rent,2018-01-11,generated,bank,
Sample Expense 11,256.75,Misc,2018-01-12,generated,bank,
Sample Expense 12,330.49,Groceries,2018-01-13,generated,card,
Sample Expense 13,34.87,Transport,2018-01-14,generated,cash,
Sample Expense 14,62.42,Transport,2018-01-15,generated,bank,
Sample Expense 15,107.95,Dining,2018-01-16,generated,bank,
Sample Expense 16,212.07,Groceries,2018-01-17,generated,cash,
Sample Expense 17,330.72,Misc,2018-01-18,generated,cash,
Sample Expense 18,414.51,Misc,2018-01-19,generated,cash,
Sample Expense 19,290.61,Rent,2018-01-20,generated,card,
Sample Expense 20,409.54,Utilities,2018-01-21,generated,card,
Sample Expense 21,18.02,Rent,2018-01-22,generated,card,
Sample Expense 22,116.07,Misc,2018-01-23,generated,bank,
Sample Expense 23,386.72,Utilities,2018-01-24,generated,bank,
Sample Expense 24,305.29,Dining,2018-01-25,generated,card,
Sample Expense 25,463.00,Utilities,2018-01-26,generated,cash,
Sample Expense 26,153.17,Rent,2018-01-27,generated,bank,
Sample Expense 27,184.41,Misc,2018-01-28,generated,card,
Sample Expense 28,309.79,Transport,2018-01-29,generated,bank,
Sample Expense 29,180.59,Misc,2018-01-30,generated,card,
Sample Expense 30,359.78,Rent,2018-01-31,generated,bank,
Sample Expense 31,427.34,Transport,2018-02-01,generated,card,
Sample Expense 32,422.03,Dining,2018-02-02,generated,card,
Sample Expense 33,372.00,Rent,2018-02-03,generated,cash,
Sample Expense 34,204.10,Transport,2018-02-04,generated,card,
Sample Expense 35,102.16,Misc,2018-02-05,generated,cash,
